0,23729,29602,31371,48900,5837,37353,38358,32961,32931,23375,10327,53536,15907,13043,33333,29112,23572,34479,33063,56787,56989,30554,31676,15406,28934,20198,22072,42859,53368,22327,23395,23174,25522,42799,38638,24851,15351,12881,13331,4362,4952,10455,32333,33708,17156,11777,15026,26631,27015
16457,0,50278,52047,50707,36883,58029,86656,53637,14269,48859,27510,74212,38056,37426,45636,40608,44248,55155,13509,77463,77665,51230,52352,9205,61152,28487,29368,44666,74044,31428,35698,52891,50777,63475,19972,45527,15216,23887,24272,21752,15854,12074,53009,54384,32267,8507,28960,47307,43616
32668,50643,0,5931,92016,30244,34706,71114,4446,59846,25536,40737,50890,14736,20705,17231,43809,19641,31832,59978,54140,54342,2453,2073,42339,51039,69796,70678,85975,50722,32483,18665,37264,27454,40153,65553,8412,44701,40552,36836,35785,36374,42636,29687,27152,20109,57428,28718,7247,84926
34417,52392,5931,0,93765,31992,36455,72863,13172,61594,27285,42486,52638,16485,22453,28135,46440,21390,33581,61726,55889,56091,5054,8005,44088,52787,71545,72426,87724,52470,34232,24095,33530,29203,41901,67301,11756,46449,42295,38584,37533,38123,44236,31435,28901,21857,59176,30467,5407,86674
50010,50656,91397,93165,0,78002,63817,42361,94755,38538,82783,45484,45744,79174,78545,86755,28891,85367,50552,47484,66595,66798,92349,93470,50359,16901,31461,32342,9180,55619,72546,76816,29156,84678,69264,36720,86646,56334,32189,65390,50836,45750,53394,61713,66199,73385,50623,70079,88425,16869
5733,35602,26980,28748,76975,0,34731,35736,30338,44805,20753,14814,50914,13285,10420,28185,29125,20950,31857,44937,54165,54367,27932,29053,17299,33421,24686,26560,70934,50746,17179,18247,20552,22900,40177,50512,22229,17244,16599,11155,8850,9439,12348,29711,31085,12007,17844,9878,24008,31502
39980,57956,35410,37179,63373,37556,0,39000,38769,67158,21933,48050,18776,23188,28017,47038,41091,19748,15038,67290,22026,22228,36362,37484,49609,69075,77108,77990,71271,18607,39796,42768,44577,23851,8399,72865,30660,52013,47785,44148,43097,43686,56923,14128,5401,27986,64740,36030,32439,74224
38268,86700,72415,74184,42062,35844,39972,0,75773,74582,20656,27852,21899,60192,65022,84042,18385,57129,19408,83528,42750,42953,73367,74489,86656,23238,67504,68386,49960,31774,76801,79773,22765,20102,45419,72764,67664,89018,26061,81153,28524,41974,89438,27057,42354,64991,86667,73035,69444,52913
36027,54003,8726,13156,95376,33603,38066,74474,0,63205,28896,44097,54249,18096,24064,14630,47169,23001,35192,63337,57500,57702,9678,5720,45699,54398,73156,74037,89335,54081,35843,22024,40624,30791,43512,68912,11772,48060,43912,40195,39144,39734,45995,33046,30512,23468,60787,32078,14611,88285
34095,15373,60347,62115,38535,46952,68097,74499,63705,0,58927,19172,84281,48124,47495,55705,34723,54317,65223,8580,87531,87734,61299,62420,19309,34545,8904,7204,32494,84113,41497,45767,27412,60823,73544,10460,55596,25285,22780,34341,25313,20227,22344,63078,64896,42336,13227,39029,57375,31444
30243,48218,25673,27441,83129,27818,22348,58756,29031,57420,0,22816,38532,13450,18279,37300,21865,8735,8941,57552,21706,21908,26624,27746,39914,30179,67371,68252,83550,38364,30058,33030,17386,4999,27795,63127,20922,42276,20682,34410,33359,33949,40210,6766,18703,18248,55003,26293,22701,82501
9921,19598,36977,38745,44880,14409,44727,27229,40335,20393,19982,0,60911,23282,20417,40775,15088,21421,26989,26127,41500,41635,37929,39117,26880,20479,16178,18052,26740,60743,29702,30770,8251,22129,50174,28295,32226,26825,5074,23427,7708,5661,21929,26493,41526,24530,14009,22401,34005,18561
56087,74062,51517,53285,45232,53663,19074,20859,54875,83265,38040,64157,0,39294,44124,63144,47947,35854,13895,83397,21852,22055,52469,53590,65758,50934,70674,71555,53129,10863,55903,58875,60683,39958,24521,75934,46766,68120,63966,60255,59204,59793,65906,30250,21456,44093,80847,52137,48545,56082
18548,38533,14652,16421,79906,16123,22596,59005,18011,47736,13426,26617,38780,0,6584,26280,31718,8408,19722,47868,42030,42233,15604,16726,30229,36918,57686,58568,73865,38612,20374,22240,23144,15345,28043,53443,9902,32591,26352,24726,21664,22254,30526,17577,18951,5877,45318,16608,11681,72816
15713,37338,20289,22058,78711,13289,28040,64448,23648,46541,18870,23782,44224,6594,0,31917,28883,14260,25166,46673,47474,47676,21241,22363,29034,34084,56491,57373,72670,44056,19179,18249,20309,20788,33486,52248,15539,31396,23517,23531,18830,19419,24903,23020,24395,6067,30399,10941,17318,71621
32419,45094,22351,26781,86467,29286,48367,84775,14635,54297,39197,41688,64551,28397,28209,0,51839,33302,45493,54429,67801,68004,23303,24425,36790,59068,64247,65128,80426,64383,17541,12706,45294,41093,53814,60003,17455,39152,41423,24950,35536,36125,36903,43348,40813,22373,46214,19225,24912,79377
30179,35543,45073,46842,22906,27755,41749,16169,48432,32990,20475,14579,41064,30727,27469,52476,0,22791,20828,38724,34666,34868,46025,47147,51196,8866,28035,29122,25959,50939,41077,42145,7314,20599,47196,36204,40323,53558,11052,38177,16492,23926,39369,26986,38548,29806,29954,33776,42102,21196
25668,43643,20865,22634,85016,23243,20144,56552,24224,52845,7311,21869,36328,8643,13704,32493,27031,0,16392,52977,39578,39781,21817,22939,35339,32232,62796,63677,78975,36160,25483,28455,18458,12014,21281,58552,16115,37700,21754,29835,28784,29374,35635,14246,16909,13673,50427,21718,17894,77925
36523,54498,31953,33721,49821,34099,14678,22043,35311,63701,12486,30240,16836,19730,24560,43580,20885,15015,0,63833,14952,15154,32905,34026,46194,26980,73651,74533,57719,18673,36338,39310,20928,8831,20125,69407,27202,48556,24224,40690,39640,40229,46342,6846,16980,24528,61283,32573,28981,60672
33434,14296,59686,61454,46927,46291,67436,82876,63044,8580,58266,27045,83620,47463,46834,55044,40143,53656,64562,0,86870,87073,60638,61759,18648,57372,17711,18592,40886,83452,40835,45406,39394,60162,72883,13885,54935,24623,30653,33680,30699,25613,21683,62417,64235,41674,17076,38368,56714,39837
59357,77332,54787,56555,65616,56933,17550,41243,58145,86535,41310,67426,21018,42564,47394,66414,68331,39501,18706,86667,0,685,55739,56860,69028,71318,91058,91940,73513,16014,59172,62144,54467,43205,27791,92241,50036,71390,58762,63525,62474,63063,69176,21768,24726,47363,84117,55407,51815,76466
59559,77534,54989,56758,65818,57135,17752,41445,58347,86737,41512,67629,21221,42766,47596,66616,68533,39703,18909,86869,685,0,55941,57063,69230,71520,91260,92142,73716,16216,59375,62347,54669,43408,27993,92444,50238,71592,58964,63727,62676,63265,69379,21970,24928,47565,84319,55609,52018,76669
33620,51595,2453,5054,92968,31196,35658,72066,9694,60798,26488,41689,51842,15688,21657,18182,44761,20593,32784,60930,55092,55294,0,4526,43291,51991,70748,71630,86927,51674,33435,19616,38216,28406,41105,66504,9364,45653,41504,37788,36737,37326,43588,30638,28104,21061,58380,29670,6369,85878
34741,52717,2073,8005,94090,32317,36780,73188,5717,61919,27610,42811,52963,16810,22778,19304,45883,21715,33906,62051,56214,56416,4526,0,44413,53112,71870,72751,88049,52795,34557,20738,39338,29528,42226,67626,10486,46774,42620,38909,37858,38447,44561,31760,29226,22182,59501,30792,9320,86999
15428,9205,41707,43476,53656,28312,49458,85866,45066,21486,40288,34727,65642,29485,28856,37366,52892,35678,46584,21618,68892,69094,42659,43781,0,64101,31436,32318,47615,65474,22857,27428,44321,42206,54905,27193,36957,6618,40450,15674,19178,22614,8797,44438,45813,23696,15989,20390,38736,46566
27753,61479,50885,52653,16821,32241,74246,22484,54243,32557,26286,17454,56173,37129,34237,58879,8209,28006,26347,58306,40185,40387,51837,52958,61182,0,27602,29476,24718,66048,47845,48913,15692,26410,79693,47543,46134,42337,13591,41259,20660,23493,37440,32797,44359,36574,29521,40544,47913,17969
19665,28508,69248,71017,30717,24153,76999,66666,72607,8904,67829,15139,70049,57026,56397,64606,28419,63219,74125,16751,90900,91103,70200,71322,28211,28241,0,3786,24676,79924,50398,54668,23379,69725,82445,12224,64498,34186,18747,43242,20492,15406,31246,71979,73797,51237,16354,47931,66277,23627
22335,29105,69845,71614,31314,26823,77596,67263,73204,7204,68426,17809,70646,57623,56994,65203,31122,63816,74722,17229,91497,91700,70797,71919,28808,41759,3769,0,25273,80521,50995,55265,26049,70322,83042,12701,65095,34783,21417,43839,23162,18076,31843,72576,74394,51834,19024,48528,66874,24224
38607,49462,90203,91971,9180,76808,71715,50259,93561,37345,88784,30636,53642,77980,77351,85561,40600,84173,58450,46290,74493,74695,91155,92276,49165,24799,30267,31148,0,63516,71353,75623,34623,90679,77161,35527,85452,55141,28523,64197,39433,34347,52201,92934,74097,72192,49429,68885,87231,13203
56241,74216,51671,53440,55325,53817,19228,30952,55030,83419,38194,64311,10688,39449,44278,63299,58040,36009,18094,83551,15270,15473,52623,53745,65913,61027,80767,81649,63223,0,56057,59029,51351,40112,24675,86027,46920,68274,55646,60409,59358,59947,66061,30404,21610,44247,81001,52291,48700,66176
22220,32091,31543,33311,73465,17905,39293,75702,34901,41294,30123,30308,55477,19320,18691,17563,42487,25513,36419,41426,58727,58930,32495,33616,23788,47688,51244,52126,67423,55309,0,15230,33914,32042,44740,47001,26792,26149,30043,18100,25152,25926,23901,34274,35648,13532,33212,9983,28571,66374
