0,2466,3419,3950,4009,1164,3241,5231,3433,2941,2720,1765,3911,2192,2028,3863,3961,2812,3752,3088,4950,4965,3556,3729,1736,3741,2383,2729,4004,4534,2234,2980,2812,2938,3908,3365,3074,1698,2334,1920,1062,828,1344,3494,3363,1935,1870,1778,3221,3364
2614,0,3557,4088,3104,2944,3382,5346,3571,1694,3193,3248,4052,2396,2814,4257,5014,2951,3888,1748,5089,5103,3694,3868,1081,4701,2077,2333,3098,4672,2261,3380,4218,3307,4047,2098,3214,1563,3754,2743,3216,2249,1541,3630,3504,2026,1413,2227,3359,2715
3611,3622,0,1206,5392,3292,2704,5102,597,4093,2521,4580,3373,1622,2322,2632,5296,2165,3234,4242,4423,4438,451,325,3070,6204,4378,4627,5387,4005,2784,2352,4038,2636,3374,4514,1141,3322,4639,3373,4152,3828,3608,2973,2852,2272,4627,2669,1118,5017
4088,4114,1219,0,5883,3773,3198,5595,2001,4582,3011,5051,3868,2115,2814,3412,5706,2655,3710,4732,4908,4923,985,1544,3559,6648,4871,5118,5878,4492,3271,3159,4589,3125,3865,5002,1872,3809,5102,3863,4628,4305,4101,3452,3341,2763,5119,3157,820,5511
4250,3092,5248,5781,0,4624,3618,3256,5263,2903,4689,3650,2648,4115,4544,5918,3165,4638,3961,3196,4555,4570,5384,5558,2953,2587,2227,2482,929,3856,3976,5051,4009,4800,4280,2669,4923,3332,3519,4442,4505,3593,3439,5228,3786,3753,3655,3947,5056,1431
1239,2696,3080,3611,4467,0,2897,4910,3095,3170,2373,2419,3566,1850,1684,3341,3827,2473,3420,3317,4612,4626,3218,3391,2018,4341,3025,3368,4461,4195,1695,2449,2463,2593,3565,3594,2731,1980,2563,1664,1817,1468,1627,3160,3021,1400,2478,1239,2881,3955
3334,3336,2777,3308,3600,3011,0,3048,2791,3809,1747,4304,1286,1602,2035,3886,4633,1770,2135,3957,2415,2429,2914,3087,2796,5245,4092,4341,4229,1954,2499,3535,3760,1861,1223,4231,2423,3038,4284,3088,3877,3550,3373,1960,729,1985,4343,2385,2577,4097
5139,5479,5256,5790,3310,4837,3180,0,5272,5288,3400,4605,2212,4123,4564,6361,3146,4275,3010,5578,4126,4141,5391,5566,5309,4043,4614,4861,3940,3429,5016,5971,3555,3391,3846,5054,4931,5550,4134,5604,5325,5363,5806,4100,3350,4515,6013,4885,5062,3802
3639,3650,1053,1942,5420,3320,2733,5131,0,4121,2550,4607,3402,1650,2351,2061,5321,2194,3261,4270,4451,4466,1191,869,3098,6230,4406,4655,5416,4034,2812,2380,4065,2683,3402,4542,1169,3350,4666,3401,4180,3855,3635,3000,2880,2300,4656,2697,1565,5045
3110,1705,4087,4619,2937,3473,3922,5186,4102,0,3725,2780,4594,2935,3356,4779,4507,3480,4409,1105,5621,5636,4223,4397,1780,4306,1475,1081,2933,5202,2800,3907,4235,3849,4581,1221,3750,2156,3397,3276,3332,2410,2274,4154,4050,2568,1862,2767,3891,2549
3009,3014,2461,2993,4630,2694,1659,4065,2476,3487,0,3572,2326,1280,1712,3572,3789,1221,1469,3636,2724,2738,2599,2772,2462,4887,3770,4021,4781,2976,2178,3223,2672,841,2335,3912,2104,2717,3294,2765,3566,3238,3015,887,1789,1660,4025,2065,2262,4406
1755,3006,4574,5106,3815,2319,4415,4683,4589,2901,3296,0,5094,3370,3212,4993,3002,3514,4617,3492,6244,6267,4719,4884,3161,3164,2190,2536,3715,5698,3403,4137,1658,3507,5080,3180,4252,3128,954,3152,1719,1085,2776,4181,4550,3099,2361,2950,4388,2775
3964,3994,3421,3952,2596,3657,1315,2072,3436,4462,2400,4936,0,2259,2696,4527,3573,2421,2417,4614,2328,2343,3559,3732,3441,4306,3896,4146,3232,1490,3154,4172,4393,2518,1996,4340,3078,3692,4990,3746,4513,4190,3978,2733,1491,2647,5002,3040,3225,3090
2314,2445,1591,2124,4212,1993,1515,3922,1607,2918,1340,3308,2182,0,978,2711,4087,1059,2078,3067,3264,3278,1730,1899,1889,4994,3199,3453,4211,2834,1604,2443,2748,1448,2191,3344,1219,2149,3271,2191,2883,2548,2464,1815,1644,862,3460,1493,1388,3833
2148,2762,2204,2736,4530,1828,2006,4409,2219,3235,1826,3143,2674,959,0,3315,3935,1591,2558,3384,3741,3756,2342,2513,2208,4835,3517,3769,4528,3318,1924,2504,2582,1945,2680,3661,1842,2466,3106,2512,2721,2384,2856,2297,2135,907,3679,1452,2003,4152
3936,3944,2549,3444,5710,3463,3938,6330,2142,4412,3740,4909,4611,2856,3398,0,5921,3385,4426,4563,5638,5652,2687,2859,3390,6860,4700,4948,5709,5218,2092,1376,4729,3865,4598,4833,1941,3641,4902,3613,4589,4162,3746,4173,4067,2510,4839,2324,2765,5340
4132,5105,5140,5673,3612,3826,4397,3198,5155,4634,3138,3036,4150,4079,3991,6023,0,3725,3972,5224,5835,5850,5276,5450,4945,1862,4032,4513,4015,5330,4491,5216,1715,3133,5045,5082,4806,5182,2386,4868,3570,3483,4827,4026,4515,4114,4479,4043,4938,3418
2813,2815,2267,2798,4583,2495,1816,4221,2282,3289,1114,3535,2483,1081,1509,3377,4153,0,2136,3438,3556,3571,2404,2576,2262,5061,3570,3822,4582,3131,1978,3031,2818,1508,2500,3714,1906,2519,3433,2565,3373,3044,2823,1872,1881,1457,3827,1866,2066,4206
4075,4108,3532,4063,3847,3768,2065,3110,3546,4575,1744,4569,2114,2371,2808,4636,3685,2317,0,4726,1941,1956,3670,3843,3554,4822,4865,5112,4478,2848,3266,4281,3696,1337,2738,4997,3190,3804,4271,3859,4623,4300,4087,1109,2218,2760,5115,3152,3335,4352
3170,1759,4146,4678,3166,3531,3981,5412,4161,1094,3782,3236,4654,2995,3417,4837,5002,3539,4468,0,5680,5695,4282,4456,1802,4757,1844,2100,3165,5261,2861,3892,4544,3907,4641,1465,3810,2229,3847,3334,3879,2962,2276,4215,4110,2629,2303,2825,3951,2783
4960,5015,4418,4950,4457,4660,2193,3888,4433,5479,3407,5917,2111,3271,3711,5524,5354,3441,2431,5632,0,76,4554,4728,4456,6057,5785,6027,5079,2390,4168,5153,5175,3541,2949,5901,4086,4707,5752,4759,5509,5187,4976,2845,2457,3667,6026,4050,4224,4971
4974,5030,4432,4965,4472,4674,2207,3902,4447,5494,3421,5931,2125,3286,3726,5538,5368,3456,2446,5647,81,0,4568,4742,4470,6071,5799,6042,5093,2405,4182,5166,5189,3556,2964,5916,4101,4721,5766,4774,5523,5201,4991,2859,2472,3681,6040,4064,4238,4985
3763,3787,463,1004,5554,3453,2871,5266,1242,4256,2684,4737,3539,1787,2488,2802,5438,2330,3397,4408,4586,4600,0,788,3234,6355,4544,4792,5553,4171,2948,2519,4193,2803,3539,4678,1280,3489,4790,3539,4312,3988,3756,3138,3016,2437,4794,2833,922,5183
3909,3938,328,1534,5704,3601,3022,5417,833,4406,2834,4882,3691,1938,2638,2953,5568,2480,3542,4558,4734,4749,779,0,3384,6491,4695,4942,5703,4320,3098,2671,4336,2952,3690,4828,1462,3638,4934,3689,4457,4134,3923,3285,3166,2587,4945,2983,1442,5334
1780,1028,2891,3422,2941,2274,2705,5100,2906,1634,2520,3195,3374,1719,2136,3533,4825,2284,3237,1788,4424,4438,3029,3202,0,4550,1916,2172,2938,4007,1582,2643,3548,2639,3375,2066,2537,775,3712,1944,2690,2284,1024,2977,2830,1347,2060,1545,2690,2556
3957,4845,6060,6594,2555,4495,5320,3918,6075,4457,4074,3058,4348,4886,4716,6817,1481,4672,4723,4946,6576,6591,6199,6370,4698,0,3851,4189,3188,5525,5233,5944,2421,4086,5959,4414,5743,5066,2216,5332,4051,3316,4724,4945,5450,4845,4313,4782,5869,2631
2685,2142,4313,4846,2225,3235,4151,4466,4328,1458,3949,2100,3882,3165,3588,5001,4089,3706,4633,2062,5777,5791,4452,4626,2012,3877,0,787,2226,5070,3033,4131,3586,4076,4811,1500,3980,2393,2727,3508,2946,2021,2512,4387,4285,2805,2541,3001,4122,1839
3107,2415,4582,5115,2499,3652,4424,4739,4597,1120,4219,2518,4159,3438,3864,5265,4484,3974,4895,2315,6051,6065,4719,4892,2281,4148,782,0,2496,5340,3302,4394,3989,4339,5079,1755,4249,2662,3143,3774,3371,2449,2777,4650,4554,3077,2993,3273,4386,2111
4436,3322,5474,6008,974,4851,4312,3932,5490,3135,5118,3702,3343,4346,4775,6139,3745,4864,4612,3427,5239,5254,5610,5784,3181,3227,2457,2713,0,4539,4206,5272,4053,5227,4967,2901,5151,3564,3445,4672,4690,3779,3673,5539,4482,3986,3886,4176,5285,1352
4691,4741,4150,4682,3912,4389,2057,3347,4165,5206,3137,5652,1477,2999,3438,5255,4824,3152,2950,5358,2388,2403,4286,4460,4182,5537,5231,5477,4539,0,3896,4890,4912,3258,2731,5671,3815,4435,5493,4488,5241,4919,4709,3473,2230,3394,5751,3781,3955,4419
2461,2296,2674,3203,4064,1907,2484,4882,2689,2769,2299,3388,3152,1498,1914,2115,4483,2066,3020,2919,4207,4222,2812,2985,1739,5408,3046,3302,4061,3791,0,2006,3186,2420,3155,3199,2317,2009,3351,1870,2961,2692,2158,2763,2611,1126,3286,1177,2474,3689
3202,3123,2332,3227,4892,2659,3314,5712,2347,3597,3123,4118,3983,2328,2578,1428,5198,2884,3822,3747,5021,5036,2470,2642,2571,6106,3877,4129,4890,4608,2097,0,3930,3241,3980,4024,1740,2833,4094,2626,3718,3429,2956,3567,3436,1688,4066,1497,2547,4520
2708,4044,3922,4452,4131,2386,3586,3793,3936,4419,2378,1708,4256,2705,2542,4657,1927,2843,3741,4663,5399,5414,4058,4232,3489,2515,3591,3931,4036,4874,3047,3783,0,2595,4249,4578,3581,3745,903,3448,2193,2294,3413,3300,3718,2744,3793,2592,3724,3100
3258,3461,2900,3429,5105,2943,2109,3687,2915,3933,717,3769,2778,1728,2162,4010,3665,1682,1533,4084,3015,3030,3038,3211,2911,4767,4216,4467,5228,3423,2625,3656,2853,0,2783,4358,2546,3169,3466,3214,3813,3486,3444,1392,2238,2111,4473,2510,2699,4860
3989,4018,3367,3896,4304,3678,1178,3735,3381,4486,2420,4959,1992,2281,2718,4474,5221,2384,2781,4637,3089,3103,3504,3677,3464,5911,4773,5021,4927,2650,3176,4193,4413,2540,0,4909,3019,3720,5010,3768,4537,4214,3999,2534,836,2669,5028,3062,3166,4812
3443,2066,4451,4982,2654,3835,4291,4898,4466,1224,4087,2849,4318,3305,3730,5136,4667,3843,4768,1480,5987,6002,4588,4761,2149,4286,1331,1592,2651,5495,3170,4264,4300,4209,4947,0,4117,2530,3464,3643,3702,2783,2643,4516,4417,2939,2595,3135,4254,2267
3241,3249,1125,1844,5017,2925,2329,4728,1145,3722,2146,4222,2998,1248,1949,1950,4970,1794,2870,3873,4057,4071,1217,1434,2699,5866,4005,4256,5017,3639,2415,1733,3676,2268,3002,4149,0,2959,4200,3002,3797,3470,3244,2612,2483,1900,4263,2300,1199,4647
1569,1517,3219,3748,3299,2114,3038,5435,3233,1997,2850,3122,3707,2052,2468,3874,5037,2612,3556,2153,4750,4765,3356,3529,789,4752,2275,2532,3295,4337,1979,2989,3750,2968,3706,2424,2870,0,3577,1691,2470,2063,949,3300,3161,1680,2092,1824,3019,2915
2471,3852,4731,5262,3514,2879,4403,4599,4746,3636,3200,1007,5079,3530,3369,5259,2385,3659,4552,4227,6168,6182,4867,5041,4099,2422,2877,3222,3321,5679,3656,4388,996,3416,5058,3867,4400,3990,0,3933,1982,1805,3637,4098,4529,3352,3220,3203,4535,2377
1934,2655,3434,3963,4423,1906,3256,5899,3448,3129,3066,3441,3926,2271,2765,3713,4820,2827,3767,3278,4965,4980,3571,3744,1925,5261,3407,3661,4420,4551,1982,2639,3545,3184,3923,3553,3087,1797,3626,0,2830,2491,1480,3511,3379,1900,2640,1575,3234,4044
1007,3089,3934,4464,4166,1694,3766,5107,3949,3125,3281,1879,4437,2718,2555,4432,3811,3265,4260,3717,5462,5476,4075,4248,2601,3896,2545,2891,4164,5051,2824,3559,2296,3492,4424,3532,3598,2565,1879,2532,0,994,2213,4006,3897,2519,2448,2365,3740,3518
684,2326,3511,4040,3426,1257,3335,5312,3525,2382,2813,1158,4003,2287,2121,3952,3135,2903,3843,2975,5036,5050,3652,3825,2252,3196,1796,2142,3423,4627,2330,3069,2407,3023,3998,2783,3170,2215,1744,2091,964,0,1862,3588,3458,2026,1674,1869,3316,2806
1357,1475,3390,3919,3397,1898,3212,5891,3405,2097,3019,2913,3881,2230,2756,3835,4815,2782,3725,2171,4914,4928,3531,3704,1050,4563,2375,2632,3395,4506,1938,2950,3534,3137,3875,2526,3047,1063,3373,1574,2259,1849,0,3468,3335,1856,1878,1791,3194,3013
3582,3600,3033,3562,4909,3269,1790,4249,3048,4071,1061,4047,2601,1863,2297,4142,4217,1806,1247,4225,2320,2334,3171,3343,3054,5520,4358,4607,5528,3248,2762,3789,3140,1346,2291,4496,2681,3309,3773,3350,4131,3805,3575,0,1816,2248,4611,2651,2833,4998
3395,3409,2845,3374,3768,3081,637,3199,2860,3880,1848,4371,1453,1672,2104,3955,4703,1717,2238,4033,2562,2576,2983,3155,2862,5402,4166,4416,4398,2121,2571,3603,3824,1929,876,4306,2490,3118,4350,3158,3945,3618,3392,1955,0,2054,4419,2460,2644,4270
2074,1967,2077,2607,3735,1518,1879,4278,2093,2438,1695,2992,2544,841,913,2556,4134,1460,2432,2590,3606,3620,2220,2391,1412,5044,2717,2974,3734,3193,1118,1644,2798,1816,2548,2868,1716,1683,2954,1700,2566,2309,2026,2172,2007,0,2989,593,1878,3355
1877,1390,4539,5069,3652,2738,4380,5900,4554,1942,4172,2585,5055,3396,3591,4936,4450,3929,4854,2238,6069,6084,4677,4851,2079,4249,2631,2888,3649,5654,3085,4064,3741,4292,5031,2504,4207,2206,3101,2623,2480,1566,1853,4603,4505,3030,0,2935,4344,3270
1963,2178,2643,3172,3947,1406,2452,5116,2658,2651,2264,2881,3119,1469,1444,2372,4032,2032,2990,2801,4166,4181,2783,2956,1624,4936,2929,3185,3945,3757,1173,1456,2686,2386,3119,3079,2288,1892,2844,1475,2452,2198,1915,2730,2578,590,3050,0,2444,3566
3408,3421,1221,879,5190,3093,2499,4893,1620,3893,2311,4383,3166,1417,2117,2726,5116,1962,3035,4046,4212,4227,980,1529,2875,6022,4179,4429,5192,3804,2584,2458,3837,2432,3166,4319,1231,3131,4363,3171,3957,3630,3404,2776,2649,2068,4432,2472,0,4817
3532,2715,4876,5407,1384,4073,3999,3621,4891,2519,4511,2803,3031,3738,4165,5484,3450,4266,4317,2819,4924,4939,5014,5188,2578,3005,1840,2097,1199,4233,3600,4682,3134,4627,4654,2286,4548,2958,2536,4068,3792,2872,3069,4937,4166,3373,3282,3570,4681,0
